Municipio_Localidad,Lengua,Grupo_Etario,Hablantes_Estimados
Cobija,Castellano,Niños,12450
Cobija,Castellano,Jóvenes,14200
Cobija,Castellano,Adultos,22100
Cobija,Castellano,Ancianos,4300
Cobija,Portugués,Niños,850
Cobija,Portugués,Jóvenes,1900
Cobija,Portugués,Adultos,3400
Cobija,Portugués,Ancianos,620
Cobija,Ese Ejja,Niños,12
Cobija,Ese Ejja,Jóvenes,18
Cobija,Ese Ejja,Adultos,35
Cobija,Ese Ejja,Ancianos,14
Cobija,Cavineño,Jóvenes,8
Cobija,Cavineño,Adultos,22
Cobija,Machineri,Adultos,5
Porvenir,Castellano,Niños,1800
Porvenir,Castellano,Jóvenes,2100
Porvenir,Castellano,Adultos,3900
Porvenir,Castellano,Ancianos,750
Porvenir,Portugués,Jóvenes,120
Porvenir,Portugués,Adultos,280
Porvenir,Ese Ejja,Adultos,8
Porvenir,Cavineño,Adultos,12
Filadelfia,Castellano,Niños,2100
Filadelfia,Castellano,Jóvenes,2400
Filadelfia,Castellano,Adultos,4200
Filadelfia,Castellano,Ancianos,890
Filadelfia,Ese Ejja,Niños,45
Filadelfia,Ese Ejja,Jóvenes,52
Filadelfia,Ese Ejja,Adultos,88
Filadelfia,Ese Ejja,Ancianos,24
Filadelfia,Machineri,Niños,3
Filadelfia,Machineri,Adultos,12
Filadelfia,Cavineño,Jóvenes,15
Filadelfia,Cavineño,Adultos,34
Filadelfia,Yaminahua,Adultos,6
Bolpebra,Castellano,Niños,450
Bolpebra,Castellano,Jóvenes,520
Bolpebra,Castellano,Adultos,980
Bolpebra,Castellano,Ancianos,180
Bolpebra,Machineri,Niños,38
Bolpebra,Machineri,Jóvenes,42
Bolpebra,Machineri,Adultos,75
Bolpebra,Machineri,Ancianos,18
Bolpebra,Yaminahua,Niños,22
Bolpebra,Yaminahua,Jóvenes,29
Bolpebra,Yaminahua,Adultos,54
Bolpebra,Yaminahua,Ancianos,12
Bolpebra,Portugués,Jóvenes,95
Bolpebra,Portugués,Adultos,210
Gonzalo Moreno,Castellano,Niños,1600
Gonzalo Moreno,Castellano,Jóvenes,1900
Gonzalo Moreno,Castellano,Adultos,3200
Gonzalo Moreno,Castellano,Ancianos,610
Gonzalo Moreno,Ese Ejja,Niños,110
Gonzalo Moreno,Ese Ejja,Jóvenes,135
Gonzalo Moreno,Ese Ejja,Adultos,240
Gonzalo Moreno,Ese Ejja,Ancianos,58
Gonzalo Moreno,Cavineño,Niños,25
Gonzalo Moreno,Cavineño,Jóvenes,32
Gonzalo Moreno,Cavineño,Adultos,68
Gonzalo Moreno,Cavineño,Ancianos,14
San Lorenzo,Castellano,Niños,1400
San Lorenzo,Castellano,Jóvenes,1650
San Lorenzo,Castellano,Adultos,2900
San Lorenzo,Castellano,Ancianos,530
San Lorenzo,Ese Ejja,Niños,85
San Lorenzo,Ese Ejja,Jóvenes,92
San Lorenzo,Ese Ejja,Adultos,175
San Lorenzo,Ese Ejja,Ancianos,42
San Lorenzo,Cavineño,Niños,40
San Lorenzo,Cavineño,Jóvenes,48
San Lorenzo,Cavineño,Adultos,92
San Lorenzo,Cavineño,Ancianos,22
Sena,Castellano,Niños,950
Sena,Castellano,Jóvenes,1100
Sena,Castellano,Adultos,1950
Sena,Castellano,Ancianos,380
Sena,Cavineño,Niños,55
Sena,Cavineño,Jóvenes,62
Sena,Cavineño,Adultos,120
Sena,Cavineño,Ancianos,31
Sena,Ese Ejja,Adultos,14
Puerto Rico,Castellano,Niños,1200
Puerto Rico,Castellano,Jóvenes,1450
Puerto Rico,Castellano,Adultos,2600
Puerto Rico,Castellano,Ancianos,490
Puerto Rico,Cavineño,Jóvenes,12
Puerto Rico,Cavineño,Adultos,28
Puerto Rico,Ese Ejja,Adultos,7
Santa Rosa del Abuná,Castellano,Niños,650
Santa Rosa del Abuná,Castellano,Jóvenes,780
